
Unfinished last clip!
0 3.04 6.18
1 7.42 10.42
2 12.22 15.20
3 16.46 17.78
4 16.88 19.42
5 19.78 21.02
6 20.82 22.30
7 24.60 27.86
8 29.52 32.08
9 37.88 39.06
10 38.44 41.06
11 43.10 46.08
12 46.82 49.46
13 50.16 53.18
14 54.16 56.64
15 58.36 59.48
16 58.82 60.04
17 61.80 64.86
18 65.10 66.80
19 68.30 71.14
20 74.38 75.82
21 74.98 76.72
22 76.98 78.28
23 77.80 0.00
