
Unfinished last clip!
0 2.42 5.28
1 5.54 8.40
2 9.18 12.00
3 13.08 15.02
4 22.66 25.16
5 27.08 29.76
6 29.44 30.54
7 33.24 35.48
8 35.20 36.30
9 36.00 38.68
10 39.42 41.42
11 43.34 44.66
12 47.44 48.90
13 50.28 52.82
14 53.40 56.30
15 56.88 59.62
16 60.36 62.92
17 63.32 66.12
18 67.10 69.90
19 70.44 71.66
20 77.78 79.56
21 81.68 83.30
22 84.90 86.08
23 87.80 88.90
24 92.40 95.12
25 102.24 103.36
26 104.30 105.50
27 105.04 106.62
28 106.36 107.62
29 109.40 111.48
30 110.60 111.94
31 114.46 115.90
32 115.80 116.98
33 121.04 123.50
34 125.06 127.22
35 129.80 130.90
36 131.40 132.72
37 132.00 133.16
38 137.74 140.36
39 140.26 141.38
40 144.36 145.66
41 154.12 156.10
42 155.34 157.02
43 157.34 158.68
44 158.04 159.52
45 172.48 173.70
46 175.20 176.44
47 181.34 182.56
48 185.06 186.98
49 187.38 189.04
50 189.42 191.74
51 191.60 192.94
52 197.00 198.38
53 200.78 202.34
54 203.64 205.06
55 207.88 210.26
56 211.34 212.94
57 213.18 216.12
58 217.52 219.20
59 220.36 222.08
60 233.52 234.76
61 236.48 237.76
62 237.54 240.02
63 240.56 241.72
64 241.06 242.80
65 247.44 250.14
66 250.26 251.44
67 250.88 252.26
68 253.60 254.92
69 259.76 261.02
70 261.86 264.40
71 264.96 267.54
72 279.10 281.90
73 282.64 284.98
74 288.16 289.90
75 290.72 292.00
76 302.24 303.64
77 303.14 304.34
78 305.02 307.26
79 308.00 310.58
80 310.92 313.34
81 313.64 316.10
82 323.36 324.50
83 324.50 326.02
84 326.30 328.40
85 332.72 334.36
86 336.40 337.80
87 349.72 352.08
88 364.50 366.54
89 370.00 372.72
90 373.52 375.02
91 376.56 378.62
92 379.48 382.12
93 383.26 385.54
94 386.06 388.76
95 390.12 391.40
96 390.68 391.92
97 391.16 392.38
98 392.88 394.76
99 396.22 398.62
100 399.78 401.56
101 403.10 404.60
102 406.62 407.82
103 407.64 408.78
104 408.84 410.36
105 411.86 413.28
106 412.78 414.34
107 422.64 424.10
108 425.42 426.92
109 433.88 435.80
110 436.20 438.48
111 441.38 444.24
112 445.38 447.30
113 446.80 447.98
114 457.64 460.00
115 462.90 464.24
116 465.74 466.88
117 466.78 468.18
118 474.10 475.34
119 474.82 476.20
120 477.56 0.00
