
Unfinished last clip!
0 88.80 90.46
1 101.48 102.88
2 108.16 109.48
3 147.80 149.16
4 152.98 154.94
5 160.36 162.76
6 214.46 216.08
7 241.76 242.96
8 242.22 243.52
9 258.14 260.02
10 285.46 286.60
11 313.82 316.14
12 337.10 338.56
13 338.16 339.48
14 339.04 341.16
15 396.04 397.44
16 407.26 408.36
17 426.40 427.80
18 427.10 428.84
19 429.46 431.16
20 434.58 436.42
21 437.82 439.10
22 455.08 456.88
23 456.20 457.72
24 486.46 487.76
25 520.60 522.62
26 523.94 525.26
27 524.58 527.88
28 528.32 530.18
29 529.98 0.00
