
Unfinished last clip!
0 2.42 5.28
1 15.64 17.12
2 16.36 17.48
3 17.28 19.24
4 19.78 21.82
5 23.28 25.40
6 25.80 27.50
7 29.48 30.58
8 32.40 33.62
9 32.88 34.36
10 46.80 47.98
11 59.94 61.18
12 63.02 64.84
13 64.36 65.76
14 69.14 71.74
15 80.02 83.98
16 86.60 88.10
17 89.02 90.38
18 97.62 98.76
19 100.96 102.26
20 111.44 112.64
21 133.30 135.70
22 153.08 154.36
23 159.60 0.00
