
Unfinished last clip!
0 3.26 6.14
1 8.32 10.88
2 11.96 13.58
3 12.78 13.96
4 14.96 17.34
5 17.74 19.08
6 18.26 19.62
7 18.78 20.56
8 20.84 23.30
9 32.24 33.40
10 33.34 34.60
11 33.92 35.76
12 38.90 40.38
13 40.08 41.36
14 41.52 43.84
15 44.60 47.30
16 47.76 50.36
17 51.18 52.80
18 52.36 53.64
19 56.46 58.10
20 58.56 60.30
21 64.46 66.94
22 67.54 70.24
23 70.76 73.50
24 73.86 75.30
25 75.70 78.32
26 78.52 80.76
27 81.84 83.12
28 84.00 85.78
29 88.14 90.04
30 90.34 92.56
31 92.94 95.38
32 95.00 96.16
33 96.56 98.82
34 97.98 99.46
35 98.84 101.00
36 103.16 106.34
37 106.90 108.24
38 108.52 109.76
39 112.64 115.22
40 115.46 117.66
41 117.80 120.14
42 120.10 122.86
43 122.70 124.50
44 124.10 125.26
45 125.48 127.78
46 129.74 131.12
47 130.38 132.12
48 132.52 134.98
49 135.70 138.32
50 138.52 141.10
51 142.00 143.12
52 143.22 144.34
53 146.96 149.88
54 150.16 151.48
55 150.72 153.12
56 153.92 156.78
57 158.06 159.22
58 159.22 160.54
59 160.58 162.98
60 163.30 164.60
61 163.76 166.06
62 168.30 170.56
63 170.90 172.62
64 173.44 176.20
65 180.52 182.92
66 182.06 183.40
67 183.56 186.48
68 186.76 189.30
69 190.08 191.24
70 191.46 192.82
71 193.22 195.50
72 195.82 198.28
73 199.46 202.48
74 203.86 205.48
75 208.36 211.16
76 210.48 211.70
77 210.92 212.20
78 213.06 215.02
79 214.28 217.38
80 220.66 222.08
81 222.34 224.92
82 232.36 234.98
83 235.04 237.84
84 237.96 239.56
85 241.24 242.82
86 244.18 246.22
87 248.56 249.84
88 250.84 253.44
89 253.90 256.52
90 256.10 258.26
91 259.50 262.30
92 263.58 266.58
93 267.68 270.10
94 274.46 277.38
95 278.68 281.04
96 284.64 287.12
97 287.86 290.18
98 291.66 293.56
99 294.28 297.46
100 300.70 303.08
101 302.84 305.30
102 306.62 308.42
103 308.96 311.20
104 311.62 313.88
105 316.32 318.82
106 320.38 322.94
107 323.06 325.36
108 325.52 327.84
109 328.58 329.80
110 335.94 337.20
111 338.30 339.54
112 339.60 340.86
113 341.40 343.84
114 345.98 348.66
115 348.88 351.50
116 353.74 355.86
117 355.90 357.74
118 357.02 358.28
119 358.50 360.68
120 361.28 362.60
121 361.92 364.02
122 365.08 366.66
123 366.40 367.66
124 370.90 372.18
125 373.72 375.78
126 377.32 379.66
127 379.04 380.20
128 379.40 381.10
129 380.50 381.90
130 383.74 386.12
131 386.28 387.72
132 388.10 390.68
133 390.44 391.62
134 392.78 394.62
135 399.12 400.68
136 404.10 406.00
137 406.28 408.38
138 408.34 409.84
139 412.32 414.50
140 414.82 417.04
141 416.90 419.16
142 420.44 422.92
143 422.82 425.12
144 426.94 429.32
145 429.84 432.52
146 432.96 434.86
147 436.10 438.10
148 439.94 441.24
149 440.62 442.00
150 441.36 442.54
151 442.46 443.76
152 443.64 446.18
153 448.64 450.12
154 449.26 450.64
155 450.04 451.68
156 451.68 453.74
157 454.16 455.48
158 455.22 456.34
159 456.64 458.74
160 459.74 462.64
161 463.04 465.52
162 465.92 468.42
163 472.46 474.16
164 475.54 476.90
165 476.62 477.92
166 478.04 480.76
167 481.36 483.80
168 483.48 486.02
169 486.14 489.02
170 489.68 490.90
171 490.08 492.04
172 493.50 495.32
173 494.98 496.62
174 495.88 497.38
175 496.54 498.20
176 498.72 500.84
177 502.42 505.00
178 504.94 507.50
179 508.28 509.40
180 510.98 513.44
181 514.76 516.50
182 517.42 518.70
183 519.42 520.56
184 521.84 523.16
185 524.92 527.42
186 527.60 529.68
187 529.80 531.26
188 530.48 531.74
189 531.18 532.54
190 533.12 534.34
191 535.24 536.38
192 537.90 539.00
193 539.32 540.80
194 540.06 541.14
195 543.54 545.22
196 546.14 547.40
197 547.22 548.42
198 548.46 549.80
199 550.42 551.60
200 552.46 553.78
201 555.16 558.30
202 557.96 560.24
203 559.78 560.90
204 560.64 561.90
205 561.80 564.12
206 564.20 566.00
207 573.44 575.26
208 576.90 579.62
209 583.64 585.42
210 584.82 586.10
211 586.80 588.38
212 588.68 590.96
213 590.42 591.68
214 592.16 594.88
215 594.90 596.86
216 597.02 598.26
217 598.30 600.58
218 601.48 602.92
219 604.22 607.14
220 609.24 611.48
221 610.60 612.04
222 614.30 617.46
223 616.78 620.90
224 622.44 624.76
225 627.40 629.08
226 628.88 631.68
227 633.54 636.00
228 642.42 645.30
229 645.58 647.84
230 648.78 651.50
231 651.96 654.82
232 660.98 663.46
233 664.52 666.24
234 668.10 670.86
235 671.08 672.42
236 674.22 676.74
237 677.60 680.14
238 680.04 0.00
