
Unfinished last clip!
0 3.86 6.98
1 9.36 11.46
2 10.58 11.82
3 15.72 18.70
4 18.44 21.42
5 22.46 25.78
6 30.00 31.78
7 33.00 34.12
8 35.54 37.96
9 41.24 44.26
10 44.92 47.68
11 48.00 50.92
12 52.28 54.68
13 56.10 58.96
14 60.38 63.34
15 64.62 66.76
16 67.10 70.04
17 70.40 73.14
18 74.56 77.38
19 79.70 82.52
20 83.56 86.52
21 88.46 90.74
22 93.38 96.20
23 98.86 100.78
24 100.08 101.50
25 102.34 105.32
26 106.96 109.94
27 110.80 114.40
28 113.58 114.82
29 -0.60 0.00
